ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga
2214,Facebook,2026-07-02,USER_2214,Disfuta que llegando a casa tenes que ir a trabajar mesero,Disfuta que llegando a casa tenes que ir a trabajar mesero,disfuta que llegando a casa tenes que ir a trabajar mesero,Discurso de Odio,2,Clasismo,Personas en situación de pobreza o precariedad,SI,SI,NO,58,11,0,0,0,0
721,Facebook,2026-07-14,USER_721,Espero que cobren lo que nos cobran aquí por hacernos ciudadanos de usa se las ponen muy fácil alos extranjeros para ser salvadoreños,Espero que cobren lo que nos cobran aquí por hacernos ciudadanos de usa se las ponen muy fácil alos extranjeros para ser salvadoreños,espero que cobren lo que nos cobran aqui por hacernos ciudadanos de usa se las ponen muy facil alos extranjeros para ser salvadorenos,No Tóxico,0,,,NO,NO,NO,133,23,0,0,0,0
2913,X,2026-07-13,USER_2913,Ojalá ! Así porfin se acabn subvenciones a parasitos y paguitas a inmigrantes de mierda.,Ojalá ! Así porfin se acabn subvenciones a parasitos y paguitas a inmigrantes de mierda.,ojala asi porfin se acabn subvenciones a parasitos y paguitas a inmigrantes de mierda,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,88,15,0,0,0,3
1389,Facebook,2026-06-25,USER_1389,Gracias a los pendejos y a los que les gusta enlodarse....,Gracias a los pendejos y a los que les gusta enlodarse....,gracias a los pendejos y a los que les gusta enlodarse,Lenguaje Ofensivo,1,Insulto Directo,,SÍ,NO,NO,58,11,0,0,0,1
2062,X,2026-07-08,USER_2062,"Acá pendejo pasivo de 17 años de san salvador de jujuy, algún activo joven???","Acá pendejo pasivo de 17 años de san salvador de jujuy, algún activo joven???",aca pendejo pasivo de anos de san salvador de jujuy algun activo joven,No Tóxico,0,,,NO,NO,NO,77,14,0,0,0,1
1222,Facebook,2026-06-26,USER_1222,(perros) trabajen sì quieren pisto no roben porque a todos nos cuesta ganar ustedes solo alungan las ✋ Bueno fuera asi como se han visto casos les han cortado las ✋ asi te lo hicieran,(perros) trabajen sì quieren pisto no roben porque a todos nos cuesta ganar ustedes solo alungan las :mano_levantada: Bueno fuera asi como se han visto casos les han cortado las :mano_levantada: asi te lo hicieran,perros trabajen si quieren pisto no roben porque a todos nos cuesta ganar ustedes solo alungan las bueno fuera asi como se han visto casos les han cortado las asi te lo hicieran,Amenazas/Violencia,3,Deseo de Daño/Sufrimiento,,NO,NO,NO,183,35,2,0,0,3
569,Facebook,2026-07-14,USER_569,Bendiciones se necesita esa ayuda,Bendiciones se necesita esa ayuda,bendiciones se necesita esa ayuda,No Tóxico,0,,,NO,NO,SÍ,33,5,0,0,0,0
2854,X,2026-06-10,USER_2854,VERGUENZA LES DEBERIA DAR DISCAPACITADOS DE MIERDA,VERGUENZA LES DEBERIA DAR DISCAPACITADOS DE MIERDA,verguenza les deberia dar discapacitados de mierda,Discurso de Odio,2,Capacitismo,Personas con discapacidad,NO,NO,NO,50,7,0,0,0,1
1210,Facebook,2026-06-26,USER_1210,"Ay qué bruta, no vale la pena 🫣 perder la cabeza y la libertad por un hombre 🙊 noo no vale la pena,pena moral para la madre","Ay qué bruta, no vale la pena :cara_tapada_con_ojo_espiando: perder la cabeza y la libertad por un hombre :mono_con_la_boca_tapada: noo no vale la pena,pena moral para la madre",ay que bruta no vale la pena perder la cabeza y la libertad por un hombre noo no vale la pena pena moral para la madre,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,123,27,2,0,0,0
1212,Facebook,2026-06-26,USER_1212,"Tantos garrotes y pasteles q hay, nombre","Tantos garrotes y pasteles q hay, nombre",tantos garrotes y pasteles q hay nombre,No Tóxico,0,,,NO,NO,NO,40,7,0,0,0,0
2787,X,2026-06-09,USER_2787,"Ahora os podeis dedicar al narcotrafico, gitanos de mierda","Ahora os podeis dedicar al narcotrafico, gitanos de mierda",ahora os podeis dedicar al narcotrafico gitanos de mierda,Discurso de Odio,2,Racismo,Personas gitanas,NO,NO,NO,58,9,0,0,0,1
416,X,2026-07-14,USER_416,#MuertesEtapa2 urge que autoricen ya la pena de muerte y que les den debaja a todos los mareros de cada penal y correccinal,#MuertesEtapa2 urge que autoricen ya la pena de muerte y que les den debaja a todos los mareros de cada penal y correccinal,muertesetapa urge que autoricen ya la pena de muerte y que les den debaja a todos los mareros de cada penal y correccinal,Amenazas/Violencia,3,Incitación a la Violencia,Pandilleros/Mareros,NO,NO,NO,123,23,0,0,1,1
641,Facebook,2026-07-14,USER_641,España pasará clsroo,España pasará clsroo,espana pasara clsroo,No Tóxico,0,,,NO,NO,NO,20,3,0,0,0,0
2847,X,2026-06-17,USER_2847,"Yo recién vengo de agarrarme a puteadas en la municipalidad. Lo peor es que el 80% de los ñoquis tienen alguna deformidad física, son putos, son viejas mal cogidas o son travestis. Odio a los munipas discapacitados de mierda ya me arruinaron el fin de semana.","Yo recién vengo de agarrarme a puteadas en la municipalidad. Lo peor es que el 80% de los ñoquis tienen alguna deformidad física, son putos, son viejas mal cogidas o son travestis. Odio a los munipas discapacitados de mierda ya me arruinaron el fin de semana.",yo recien vengo de agarrarme a puteadas en la municipalidad lo peor es que el de los noquis tienen alguna deformidad fisica son putos son viejas mal cogidas o son travestis odio a los munipas discapacitados de mierda ya me arruinaron el fin de semana,Discurso de Odio,2,Capacitismo,Personas con discapacidad,NO,NO,NO,259,46,0,0,0,2
89,X,2026-07-13,USER_089,"Con poco ""pisto"" (dinero) se puede cenar muy rico en El Salvador 󾌬󾬓󾓦 unas #PUPUSAS y un café!! #RecetasSV... http:// fb.me/4r6MG0id3","Con poco ""pisto"" (dinero) se puede cenar muy rico en El Salvador 󾌬󾬓󾓦 unas #PUPUSAS y un café!! #RecetasSV... http:// fb.me/4r6MG0id3",con poco pisto dinero se puede cenar muy rico en el salvador unas pupusas y un cafe recetassv http fb me r mg id,No Tóxico,0,,,NO,NO,NO,132,21,0,0,2,2
2061,X,2026-06-28,USER_2061,como dijo aquel le habla como que le aguantara un vergazo,como dijo aquel le habla como que le aguantara un vergazo,como dijo aquel le habla como que le aguantara un vergazo,No Tóxico,0,,,SÍ,NO,SÍ,57,11,0,0,0,1
1353,Facebook,2026-06-25,USER_1353,Vieja más pendeja solo lo q es mierda sube,Vieja más pendeja solo lo q es mierda sube,vieja mas pendeja solo lo q es mierda sube,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,42,9,0,0,0,2
2955,X,2026-06-13,USER_2955,"Cuántos venezolanos de mierda 'indignados' porque el tipo este tenía música a alto volumen... Cuando la cultura venezolana es precisamente ser un marginal, escandaloso y en la playa todos van a joder a rumbear. Cuerda de hipócritas.","Cuántos venezolanos de mierda 'indignados' porque el tipo este tenía música a alto volumen... Cuando la cultura venezolana es precisamente ser un marginal, escandaloso y en la playa todos van a joder a rumbear. Cuerda de hipócritas.",cuantos venezolanos de mierda indignados porque el tipo este tenia musica a alto volumen cuando la cultura venezolana es precisamente ser un marginal escandaloso y en la playa todos van a joder a rumbear cuerda de hipocritas,Discurso de Odio,2,Xenofobia,Personas inmigrantes,NO,NO,NO,232,37,0,0,0,3
131,X,2026-07-13,USER_131,Están cordialmente invitados a la primera presentación de nuestra última antología dedicada a los Educadores salvadoreños. Espero que puedan acompañarnos. #Literatura #LiteraturaSV.,Están cordialmente invitados a la primera presentación de nuestra última antología dedicada a los Educadores salvadoreños. Espero que puedan acompañarnos. #Literatura #LiteraturaSV.,estan cordialmente invitados a la primera presentacion de nuestra ultima antologia dedicada a los educadores salvadorenos espero que puedan acompanarnos literatura literaturasv,No Tóxico,0,,,NO,NO,NO,181,22,0,0,2,0
1841,X,2026-06-07,USER_1841,Culero el hijueputa en salvadoreño para que entendas,Culero el hijueputa en salvadoreño para que entendas,culero el hijueputa en salvadoreno para que entendas,Lenguaje Ofensivo,1,Insulto Directo,Persona Individual,NO,NO,NO,52,8,0,0,0,2
1390,Facebook,2026-06-25,USER_1390,Estas personas se llaman parásitos no sirven solo para consumir nada más y a costillas de otros sobreviven,Estas personas se llaman parásitos no sirven solo para consumir nada más y a costillas de otros sobreviven,estas personas se llaman parasitos no sirven solo para consumir nada mas y a costillas de otros sobreviven,Lenguaje Ofensivo,1,Insulto Directo,,NO,NO,NO,106,18,0,0,0,1
