ID,Plataforma,fecha,Usuario_ID_Anonimizado,texto_original,texto_modelo,texto_agresivo,clase,label,subclase,Grupos_Afectados,Presencia_Sarcasmo,Presencia_Ironia,Contexto_Politico,n_chars,n_palabras,n_emojis,n_menciones,n_hashtags,n_jerga
1,X,2026-07-13,USER_001,"Mi madrecita a sus más de 60 años volvió a emprender. La pueden encontrar en ese localito en la décima avenida sur, calle Darío González, San Jacinto, por el Don Pollo autoservicio en San Jacinto. Llegue por #pupusas tortas, hot dogs, almuerzos y más","Mi madrecita a sus más de 60 años volvió a emprender. La pueden encontrar en ese localito en la décima avenida sur, calle Darío González, San Jacinto, por el Don Pollo autoservicio en San Jacinto. Llegue por #pupusas tortas, hot dogs, almuerzos y más",mi madrecita a sus mas de anos volvio a emprender la pueden encontrar en ese localito en la decima avenida sur calle dario gonzalez san jacinto por el don pollo autoservicio en san jacinto llegue por pupusas tortas hot dogs almuerzos y mas,No Tóxico,0,,,NO,NO,NO,250,44,0,0,1,0
2,X,2026-07-13,USER_002,Comparte tu arte y tu nacionalidad Aprovechando para compartir acá lo que hago y conocer más artistas salvadoreños por estos lares #pupusas,Comparte tu arte y tu nacionalidad Aprovechando para compartir acá lo que hago y conocer más artistas salvadoreños por estos lares #pupusas,comparte tu arte y tu nacionalidad aprovechando para compartir aca lo que hago y conocer mas artistas salvadorenos por estos lares pupusas,No Tóxico,0,,,NO,NO,NO,139,22,0,0,1,0
3,X,2026-07-13,USER_003,En Los Naranjos siempre es primavera. #ElSalvador #RutaDeLasFlores #LosNaranjos #Travelling #Nature,En Los Naranjos siempre es primavera. #ElSalvador #RutaDeLasFlores #LosNaranjos #Travelling #Nature,en los naranjos siempre es primavera elsalvador rutadelasflores losnaranjos travelling nature,No Tóxico,0,,,NO,NO,NO,99,11,0,0,5,0
4,X,2026-07-13,USER_004,"Fotografía de 1960, carretera de Sonsonate hacia Juayúa, lo que hoy conocemos como la Ruta de las Flores en El Salvador. #RutaDeLasFlores #ElSalvador #Retro #FotografíaHistórica #TravelBackInTime #CulturaSalvadoreña #ExperienceThePast #VintageVibes","Fotografía de 1960, carretera de Sonsonate hacia Juayúa, lo que hoy conocemos como la Ruta de las Flores en El Salvador. #RutaDeLasFlores #ElSalvador #Retro #FotografíaHistórica #TravelBackInTime #CulturaSalvadoreña #ExperienceThePast #VintageVibes",fotografia de carretera de sonsonate hacia juayua lo que hoy conocemos como la ruta de las flores en el salvador rutadelasflores elsalvador retro fotografiahistorica travelbackintime culturasalvadorena experiencethepast vintagevibes,No Tóxico,0,,,NO,NO,NO,248,29,0,0,8,0
5,X,2026-07-13,USER_005,"Los maquilishuat .. que belleza! Además El Salvador cuenta entre otras maravillas con el árbol de fuego , un espectaculo de la naturaleza . #RutaDeLasFlores","Los maquilishuat .. que belleza! Además El Salvador cuenta entre otras maravillas con el árbol de fuego , un espectaculo de la naturaleza . #RutaDeLasFlores",los maquilishuat que belleza ademas el salvador cuenta entre otras maravillas con el arbol de fuego un espectaculo de la naturaleza rutadelasflores,No Tóxico,0,,,NO,NO,NO,156,25,0,0,1,1
6,X,2026-07-13,USER_006,"La belleza del corazón de Nahuizalco se potencia #EnLaDirecciónCorrecta, con la revitalización que realizamos en el centro histórico. Esto, como parte de nuestra intervención en la #RutaDeLasFlores.","La belleza del corazón de Nahuizalco se potencia #EnLaDirecciónCorrecta, con la revitalización que realizamos en el centro histórico. Esto, como parte de nuestra intervención en la #RutaDeLasFlores.",la belleza del corazon de nahuizalco se potencia enladireccioncorrecta con la revitalizacion que realizamos en el centro historico esto como parte de nuestra intervencion en la rutadelasflores,No Tóxico,0,,,NO,NO,SÍ,198,27,0,0,2,1
7,X,2026-07-13,USER_007,¿Y tú ya visitaste estos destinos de la #RutaDeLasFlores? No esperes más y ven con tu familia y amigos #EnLaDirecciónCorrecta.,¿Y tú ya visitaste estos destinos de la #RutaDeLasFlores? No esperes más y ven con tu familia y amigos #EnLaDirecciónCorrecta.,y tu ya visitaste estos destinos de la rutadelasflores no esperes mas y ven con tu familia y amigos enladireccioncorrecta,No Tóxico,0,,,NO,NO,SÍ,126,20,0,0,2,1
8,X,2026-07-13,USER_008,"#SurfCity | Las jóvenes promesas del surf están dejando todo en las olas de Punta Roca, una playa que conocen muy bien y que ofrece las condiciones perfectas para la práctica de este deporte. #SecretaríaDePrensa","#SurfCity | Las jóvenes promesas del surf están dejando todo en las olas de Punta Roca, una playa que conocen muy bien y que ofrece las condiciones perfectas para la práctica de este deporte. #SecretaríaDePrensa",surfcity las jovenes promesas del surf estan dejando todo en las olas de punta roca una playa que conocen muy bien y que ofrece las condiciones perfectas para la practica de este deporte secretariadeprensa,No Tóxico,0,,,NO,NO,SÍ,211,35,0,0,2,0
9,X,2026-07-13,USER_009,"#SurfCity | Jaime Abarca consiguió la primera posición del heat 3 de la categoría junior sub 16, asegurando su clasificación a semifinales. #SecretaríaDePrensa","#SurfCity | Jaime Abarca consiguió la primera posición del heat 3 de la categoría junior sub 16, asegurando su clasificación a semifinales. #SecretaríaDePrensa",surfcity jaime abarca consiguio la primera posicion del heat de la categoria junior sub asegurando su clasificacion a semifinales secretariadeprensa,No Tóxico,0,,,NO,NO,SÍ,159,23,0,0,2,0
10,X,2026-07-13,USER_010,Gracias a Rosemarié Mixco Estrada por retomar la publicación de ayer en el Tres Mil y otro texto que publiqué hace unos años en el Dioy. #GraciasTotales #MujeresSV #CulturaSV #EfeméridesSV,Gracias a Rosemarié Mixco Estrada por retomar la publicación de ayer en el Tres Mil y otro texto que publiqué hace unos años en el Dioy. #GraciasTotales #MujeresSV #CulturaSV #EfeméridesSV,gracias a rosemarie mixco estrada por retomar la publicacion de ayer en el tres mil y otro texto que publique hace unos anos en el dioy graciastotales mujeressv culturasv efemeridessv,No Tóxico,0,,,NO,NO,NO,188,30,0,0,4,0
